  PCB NAME   ET-D720201-0014Å@Å@
  PCB NUMBER FB01500-B
                                 Data of Draw up 2011.04.19  
 
  PART_ID              XLOC            YLOC           ANGLE

  C1                   70.50           70.50          90.00
  C2                   75.00           87.00           0.00
  C3                   59.75           81.75          90.00
  C4                   56.25           81.75          90.00
  C5                   78.50          102.00          90.00
  C6                   82.50          102.00          90.00
  C7                   76.50           79.00           0.00
  C8                   68.50           70.50          90.00
  C9                   11.50           92.50           0.00
  C10                  24.00           92.50           0.00
  C11                  49.00           92.50           0.00
  C12                  36.50           92.50           0.00
  C13                  58.50           29.50           0.00
  C14                  19.75           59.80          90.00
  C15                  19.75           77.20          90.00
  C16                  19.75           25.00          90.00
  C17                  19.75           42.40          90.00
  C18                  46.20           17.60          90.00
  C19                  62.20           55.60          90.00
  C20                  41.50           21.30           0.00
  C21                  25.25           63.55           0.00
  C22                  25.25           80.95           0.00
  C23                  25.25           28.75           0.00
  C24                  25.25           46.15           0.00
  C25                  24.90           21.96           0.00
  C26                  24.90           20.86           0.00
  C27                  24.90           39.36           0.00
  C28                  24.90           38.26           0.00
  C29                  24.90           56.76           0.00
  C30                  24.90           55.66           0.00
  C31                  24.90           74.16           0.00
  C32                  24.90           73.06           0.00
  C33                  59.33           19.12          90.00
  C34                  60.42           19.12          90.00
  C35                  64.15           53.00          90.00
  C36                  67.70           48.05           0.00
  C37                  64.50           37.00          90.00
  C38                  69.50           83.50           0.00
  C39                  61.00           86.00           0.00
  C40                  44.00           17.80          90.00
  C41                  42.50           23.30           0.00
  C42                  78.50           81.50           0.00
  C43                  83.50           50.50          90.00
  C44                  90.10           61.50          90.00
  C45                  93.50           61.50          90.00
  C46                  46.00           86.00          90.00
  C47                  52.00           82.50           0.00
  C48                  48.10           53.70          90.00
  C49                  58.90           37.70          90.00
  C50                  49.10           36.80          90.00
  C51                  45.00           50.70           0.00
  C52                  46.00           37.80          90.00
  C53                  64.00           44.30           0.00
  C54                  51.00           36.70          90.00
  C55                  62.40           50.60           0.00
  C56                  75.50           45.50           0.00
  C57                  57.00           88.50           0.00
  C58                  57.00           86.50           0.00
  C59                  77.00           49.00          90.00
  C100                 57.30           38.40          90.00
  C101                 62.30           47.20           0.00
  C102                 55.70           53.40          90.00
  C103                 50.60           53.30          90.00
  C104                 46.00           47.20           0.00
  C105                 46.20           42.10           0.00
  C106                 54.00           38.20          90.00
  C107                 55.70           38.20          90.00
  C108                 62.30           45.80           0.00
  C109                 57.40           53.40          90.00
  C110                 54.00           53.50          90.00
  C111                 52.30           53.30          90.00
  C112                 46.00           48.90           0.00
  C113                 46.20           45.50           0.00
  C114                 46.30           43.80           0.00
  C115                 52.30           37.20          90.00
  C116                 61.20           49.30           0.00
  C117                 75.00           84.50           0.00
  C118                 67.50          108.50           0.00
  C119                 85.50           50.50          90.00
  C120                 94.00           67.25          90.00
  C121                 90.00           24.50           0.00
  D5                   62.00           33.00           0.00
  D6                   77.50           70.00         180.00
  D7                   77.50           72.50         180.00
  D8                   76.50           90.50         180.00
  D9                   65.50          106.00         180.00
  D10                  89.00           67.00           0.00
  D11                  88.00           27.50           0.00
  F1                    9.00           98.50          90.00
  F2                   21.50           98.50          90.00
  F3                   34.00           98.50          90.00
  F4                   46.50           98.50          90.00
  F5                   78.00           75.50          90.00
  FB11                 60.10           55.60          90.00
  FB12                 17.75           81.95          90.00
